Title,Year,Edition,Continents,,,
Horn Measurements and Weights of the Great Game of the World,1892,1,whole world,,,
Horn Measurements and Weights of the Great Game of the World,1894,1,whole world,,,
Rowland Ward's Records of Big Game,1896,2,whole world,,,
Rowland Ward's Records of Big Game,1903,4,whole world,,,
Rowland Ward's Records of Big Game,1907,5,whole world,,,
Rowland Ward's Records of Big Game,1910,6,whole world,,,
Rowland Ward's Records of Big Game,1914,7,whole world,,,
Rowland Ward's Records of Big Game,1922,8,whole world,,,
Rowland Ward's Records of Big Game,1928,9,whole world,,,
Rowland Ward's Records of Big Game,1935,10,Africa-Asia,,,
Rowland Ward's Records of Big Game,1962,11,Africa,,,
"RWBG, 1st Addendum",1964,12.1,Africa,,,
"RWBG, 2nd Addendum",1966,12.2,Africa,,,
"RWBG, 3rd Addendum",1968,12.3,Africa,,,
Rowland Ward's Records of Big Game,1969,13,Africa,,,
Rowland Ward's Records of Big Game,1971,14,Africa,,,
Rowland Ward's Records of Big Game,1973,15,Africa,,,
Rowland Ward's Records of Big Game,1975,16,Africa,,,
Rowland Ward's Records of Big Game,1977,17,Africa,,,
Rowland Ward's Records of Big Game,1981,18,Africa,,,
Rowland Ward's Records of Big Game,1984,19,Africa,,,
Rowland Ward's Records of Big Game,1986,20,Africa-Asia,,,
Rowland Ward's Records of Big Game,1989,21,Europe,,,
Rowland Ward's Records of Big Game,1992,22,whole world,,,
Rowland Ward's Records of Big Game,1995,23,whole world,,,
Rowland Ward's Records of Big Game,1998,24,whole world,,,
Rowland Ward's Records of Big Game,2002,25,whole world,,,
Rowland Ward's Records of Big Game,2006,27,whole world,,,
Rowland Ward's Records of Big Game,2010,28,whole world,,,
Rowland Ward's Records of Big Game,2014,29,Africa,,,
Rowland Ward's Records of Big Game,2019,30,Africa,,,